cost_price,regular_price,regular_volume,regular_pe
68.0,140.0,10.0,0.0
180.0,300.0,10.0,0.0
26.0,56.0,40.0,-3.6885245901639343
80.0,0.0,0.0,1.0
94.0,205.0,20.0,0.0
26.0,56.0,200.0,-12.38255033557047
68.0,140.0,50.0,-0.5
180.0,300.0,290.0,4.2
52.0,0.0,0.0,1.0
80.0,0.0,0.0,0.0
50.0,0.0,0.0,0.0
52.0,0.0,0.0,0.0
80.0,135.0,190.0,0.0
26.0,56.0,160.0,0.26982011992005334
94.0,205.0,40.0,-0.2818791946308725
58.0,0.0,0.0,1.0
180.0,300.0,300.0,0.0
68.0,140.0,100.0,1.2500000000000002
26.0,56.0,140.0,-0.6666666666666665
94.0,205.0,90.0,-0.1342281879194631
54.0,0.0,0.0,1.0
68.0,140.0,110.0,0.0
180.0,300.0,240.0,1.034090909090909
62.0,0.0,0.0,1.0
80.0,135.0,110.0,0.0
80.0,135.0,250.0,0.0
93.0,205.0,240.0,-0.0771428571428572
79.0,0.0,0.0,1.0
70.0,0.0,0.0,0.0
180.0,300.0,280.0,0.0
68.0,140.0,150.0,0.8705357142857143
26.0,50.0,120.0,0.31111111111111106
70.0,140.0,150.0,0.1388888888888889
180.0,300.0,320.0,0.9916666666666667
92.0,205.0,600.0,-2.763157894736842
81.0,135.0,80.0,2.5380952380952384
89.0,180.0,530.0,16.875000000000004
86.0,200.0,230.0,-5.094339622641507
26.0,50.0,150.0,0.463768115942029
90.0,200.0,330.0,0.4000000000000001
27.0,0.0,0.0,1.0
89.0,180.0,400.0,0.0
92.0,205.0,90.0,-5.580000000000002
180.0,300.0,250.0,3.8362573099415207
71.0,140.0,350.0,-0.7499999999999999
84.0,0.0,0.0,1.0
84.0,0.0,0.0,0.0
29.0,0.0,0.0,0.0
180.0,300.0,70.0,0.0
92.0,205.0,50.0,0.9022556390977443
92.0,200.0,120.0,-57.39999999999995
71.0,140.0,170.0,-1.3888888888888888
90.0,180.0,280.0,2.2647058823529402
84.0,0.0,0.0,1.0
72.0,140.0,110.0,0.0
180.0,300.0,170.0,0.47727272727272724
94.0,200.0,200.0,-0.5294117647058824
90.0,180.0,90.0,5.500000000000002
29.0,0.0,0.0,1.0
180.0,300.0,250.0,0.0
94.0,200.0,190.0,0.7199999999999999
84.0,135.0,220.0,-0.48582995951417024
91.0,180.0,210.0,-0.13636363636363627
29.0,50.0,130.0,0.5274725274725275
72.0,140.0,40.0,-0.38461538461538464
